cluster	system	occurrence
51	DMS_other	81.38
51	disarm_type_II	3.3
51	disarm_type_I	15.19
52	DMS_other	9.79
52	RM_type_III	88.93
53	wadjet_type_II	70.22
53	wadjet_other	29.62
54	druantia_type_IV	6.69
54	druantia_type_I	4.64
54	druantia_other	25.57
54	druantia_type_II	8.63
54	druantia_type_III	52.28
55	gabija	98.89
56	RM_type_II	77.66
56	meta	10.96
56	VSPR	8.4
57	mza_other	28.88
57	mza	69.48
58	zorya_other	5.46
58	zorya_type_III	94.52
59	hachiman_type_I	89.78
59	hachiman_type_II	8
60	cas_type_other	4.96
60	cas_type_I-E	94.79
61	DMS_other	37.64
61	RM_type_IIG	59.72
62	RM_type_I	24.17
62	PrrC	73.27
63	DMS_other	3.57
63	Shango	96.35
64	ietAS	99.31
65	cas_type_I-E	97.09
66	DMS_other	10.45
66	RM_type_III	89.39
67	AbiE	97.29
68	wadjet_type_II	71.2
68	wadjet_other	28.6
69	mza_other	16.98
69	meta	4.08
69	mza	78.94
70	meta	9.03
70	VSPR	90.97
71	wadjet_other	70.75
71	wadjet_type_I	29.25
72	zorya_other	5.81
72	zorya_type_III	94.19
73	AbiE	99.89
74	gabija	99.67
75	cas_type_III-B	12.52
75	cas_type_V	3.68
75	cas_type_III-A	16.81
75	cas_type_I-C	4.83
75	cas_type_other	13.74
75	cas_type_I-D	5.12
75	meta	3.99
75	cas_type_I-B1	11.89
75	cas_adaptation	13.74
75	cas_type_III-D	8.32
76	cas_type_II-A	96.44
77	RM_type_II	86.66
77	DMS_other	10.15
77	meta	3.2
78	zorya_other	10.37
78	zorya_type_III	74.48
78	zorya_type_I	14.49
79	mza_other	8.74
79	mza	89.25
80	cas_type_I-C	96.51
80	cas_type_other	3.26
81	cas_type_other	5.85
81	cas_type_I-F1	94.15
82	PT_DndABCDE	84.69
82	DMS_other	14.08
83	DMS_other	8.92
83	meta	6.95
83	PT_DndABCDE	83.44
84	RM_type_I	81.03
84	DMS_other	18.14
85	brex_type_I	64.42
85	DMS_other	32.38
86	qatABCD	69.48
86	qatABCD_other	28.25
87	cas_type_II-C	96.67
88	SoFic	100
89	AbiE	99.53
90	RM_type_I	89.63
90	DMS_other	10.11
91	RM_type_II	82.77
91	DMS_other	4.56
91	meta	10.88
92	meta	5.61
92	VSPR	94.39
93	cas_type_other	4.5
93	meta	5.92
93	cas_type_I-B1	84.27
94	HEC-01	33.74
94	septu_type_I	48.97
94	gabija	4.82
94	meta	11.43
95	wadjet_other	42.91
95	wadjet_type_I	56.73
96	wadjet_type_II	61.16
96	wadjet_other	38.67
97	cas_type_I-C	96.49
97	cas_type_other	3.51
98	RM_type_II	93.82
98	DMS_other	4.64
99	RM_type_II	92.68
99	DMS_other	5.07
100	disarm_type_I	25.34
100	DMS_other	36.65
100	RM_type_IIG	36.55
101	Lamassu_Family	97.51
102	PT_SspABCD	85.31
102	DMS_other	14.66
103	meta	90.55
103	DMS_other	8.7
104	wadjet_other	15.71
104	wadjet_type_I	83.84
105	RM_type_I	68.32
105	DMS_other	31.19
106	AbiE	99.66
107	wadjet_other	68.4
107	wadjet_type_I	31.1
108	DMS_other	49.73
108	brex_type_III	16.42
108	disarm_type_I	28.91
109	VSPR	99.34
110	RM_type_II	12.11
110	DMS_other	34.79
110	RM_type_III	50.86
111	Azaca	97.77
112	brex_type_I	73.02
112	DMS_other	26.68
113	cas_type_I-C	97.52
114	qatABCD	73.49
114	qatABCD_other	24.09
115	RM_type_I	60.31
115	SoFic	27.26
115	DMS_other	12.13
116	RM_type_I	86.67
116	DMS_other	12.49
117	cas_type_I-E	94.22
117	cas_type_other	5.78
118	PT_SspABCD	86.78
118	DMS_other	13.11
119	cbass_type_II	30.5
119	cbass_type_I	18.55
119	cbass_type_IIs	47
120	qatABCD	86.03
120	qatABCD_other	13.4
121	HEC-06	42.45
121	DMS_other	43.92
121	meta	10.6
122	meta	97.22
123	DRT_other	19.32
123	retron_II-A	10.15
123	retron_III-A	22.04
123	retron_I-A	9.86
123	retron_V	8.5
123	retron_VI	13.49
123	retron_IV	11.86
124	RM_type_II	17.26
124	RM_type_HNH	15.12
124	meta	7.5
124	VSPR	59.47
125	darTG	97.88
126	meta	99.76
127	gabija	99.5
128	Dpd	91.94
128	DMS_other	7.7
129	RM_type_II	9.17
129	meta	20.55
129	PD-Lambda-5	64.4
129	DMS_other	5.82
130	RM_type_I	61.75
130	meta	3.66
130	DMS_other	34.59
131	zorya_other	37.88
131	zorya_type_II	14.2
131	zorya_type_I	47.77
132	meta	6.7
132	PsyrTA	92.21
133	RM_type_II	52.56
133	meta	24.98
133	VSPR	21.72
134	DMS_other	19.83
134	RM_type_I	78.03
135	RM_type_II	96.26
135	meta	3.07
136	HEC-05	74.74
136	meta	23.27
137	brex_type_V	4.42
137	DMS_other	23.07
137	brex_type_III	6.84
137	hma	63.74
138	DMS_other	19.97
138	hma	75.46
139	RM_type_IV	100
140	RM_type_I	82.73
140	DMS_other	17.04
141	cas_type_other	28.12
141	meta	4
141	cas_type_I-E	66.67
142	gabija	98.72
143	cas_type_I-E	94.66
143	cas_type_other	5.34
144	RM_type_I	83.98
144	DMS_other	15.46
145	Lamassu_Family	97.29
146	cas_type_II-C	29.57
146	cas_type_II-A	64.95
147	RM_type_II	29.78
147	meta	29.35
147	DMS_other	3.1
147	VSPR	37.57
148	DMS_other	8.76
148	PT_DndABCDE	90.5
149	cbass_type_I	98.41
150	meta	100
151	RM_type_II	32.74
151	DMS_other	5.04
151	meta	62.22
152	RM_type_I	88.87
152	DMS_other	9.64
153	cas_type_I-C	96.08
153	cas_type_other	3.92
154	meta	99.62
155	RM_type_I	92.72
155	DMS_other	6.65
156	AbiD	100
157	wadjet_type_II	93.26
157	wadjet_other	5.97
158	mza_other	9.24
158	mza	90.76
159	druantia_type_III	98.39
160	meta	97.39
161	PT_SspABCD	92.99
161	DMS_other	6.25
162	RM_type_I	82.76
162	DMS_other	16.98
163	cas_type_I-B1	96.51
164	cas_type_III-A	92.99
164	cas_type_other	6.6
165	Lamassu_Family	99.29
166	Shango	99.59
167	RM_type_II	70.44
167	meta	19.33
167	DMS_other	3.44
167	VSPR	5.25
168	cas_type_I-F2	4.2
168	cas_type_other	3.44
168	cas_type_I-F1	92.36
169	argonaute_type_III	77.34
169	meta	6.04
169	argonaute_other	16.62
170	meta	95.92
170	cas_type_other	3.55
171	cas_type_I-E	96
171	cas_type_other	3.96
172	meta	99.61
173	DMS_other	5.26
173	meta	93.49
174	ietAS	99.33
175	cas_type_I-B1	91.04
175	cas_type_other	5.84
176	GAO_19	99.6
177	brex_type_I	69.31
177	DMS_other	17.84
177	brex_type_IV	12.69
178	DMS_other	5.24
178	PT_DndFGH	85.2
178	meta	8.97
179	cas_type_I-C	96.71
180	RM_type_II	77.15
180	meta	14.76
180	VSPR	5.63
181	wadjet_other	23.84
181	wadjet_type_I	76.12
182	meta	99.84
183	DMS_other	96.32
183	meta	3.43
184	RM_type_I	75.06
184	DMS_other	24.57
185	brex_type_I	69.58
185	DMS_other	26.91
186	cas_type_I-E	98.32
187	Menshen	88.62
187	Menshen_other	10.27
188	DMS_other	14.12
188	hma	82.72
189	cbass_type_II	50.29
189	cbass_type_I	14.1
189	cbass_other	7.46
189	meta	3.13
189	cbass_type_IIs	24.86
190	Lamassu_other	5.58
190	Lamassu_Family	93.93
191	RM_type_II	7.95
191	meta	4.64
191	VSPR	87.33
192	druantia_other	27.75
192	meta	68.46
192	DMS_other	3.67
193	thoeris_type_I	96.17
193	meta	3.58
194	zorya_other	27.27
194	zorya_type_II	7.57
194	zorya_type_I	64.95
195	meta	99.62
196	cas_type_other	6.03
196	meta	6.71
196	cas_type_I-B1	86.2
197	cas_type_III-A	93.74
197	cas_type_other	6.26
198	RM_type_I	86.35
198	DMS_other	13.48
199	wadjet_other	4.49
199	wadjet_type_I	95.12
200	meta	75.98
200	HEC-07	24.02
201	DMS_other	7.85
201	PT_DndFGH	92.15
202	Mokosh_TypeI	98.5
203	RM_type_IV	11.93
203	DMS_other	29.4
203	meta	10.16
203	HEC-06	48.51
204	RM_type_I	64.56
204	DMS_other	35.31
205	RM_type_II	72.52
205	DMS_other	20.39
205	meta	7.09
206	cas_type_III-A	95.99
206	cas_type_other	3.88
207	meta	98.42
208	DMS_other	49.86
208	brex_type_VI	3.53
208	brex_type_II	46.24
209	Mokosh_TypeII	99.59
210	DRT_type_III	98.4
211	meta	99.31
212	DMS_other	11.25
212	meta	88.47
213	RM_type_I	76.26
213	DMS_other	22.63
214	DMS_other	3.17
214	meta	95.02
215	meta	5.5
215	septu_type_I	94.13
216	RM_type_I	79.61
216	DMS_other	19.96
217	RM_type_II	93
217	DMS_other	5.59
218	zorya_type_I	96.05
219	cas_type_III-B	81.97
219	cas_type_other	18.03
220	argonaute_type_I	97.63
221	meta	14.69
221	septu_type_I	84.83
222	RM_type_II	98.67
223	meta	38.57
223	gabija	61.43
224	meta	4.48
224	Menshen_other	5.97
224	Menshen	89.26
225	RM_type_I	24.41
225	DMS_other	74.09
226	DMS_other	95.18
227	RM_type_II	99.41
228	AbiE	99.75
229	RM_type_II	96.75
230	RM_type_II	58.22
230	meta	12.5
230	DMS_other	11.71
230	VSPR	17.52
231	meta	98.81
232	meta	98.56
233	gabija	99.35
234	cas_type_II-C	63.33
234	cas_type_other	4.2
234	cas_adaptation	9.45
234	cas_type_II-A	22.46
235	RM_type_II	88.43
235	meta	5.76
235	VSPR	3.06
236	wadjet_other	3.35
236	wadjet_type_I	96.3
237	AVAST_type_I	12.11
237	AVAST_type_I_other	4.17
237	Lamassu_Family	48.73
237	meta	30.11
238	RM_type_I	87.73
238	DMS_other	11.5
239	zorya_type_II	77.25
239	zorya_other	22.29
240	DMS_other	46.11
240	brex_type_II	53.89
241	RM_type_II	4.2
241	meta	8.6
241	VSPR	84.92
242	Paris	95.1
242	meta	4.79
243	Dynamins	99.79
244	DMS_other	45.31
244	brex_type_II	54.64
245	cbass_type_II	42.82
245	cbass_type_I	16.99
245	cbass_other	5.79
245	meta	3.31
245	cbass_type_IIs	31.09
246	meta	5.12
246	septu_type_I	94.77
247	cas_type_I-B1	93.66
247	cas_type_other	4.88
248	meta	99.24
249	DMS_other	15.41
249	meta	29.52
249	AbiE	54.63
250	brex_type_I	58.61
250	DMS_other	33.57
250	brex_type_V	7.53
251	SoFic	100
252	ietAS	97.1
253	meta	6.57
253	VSPR	93.43
254	hachiman_type_I	99.1
255	RM_type_II	99.66
256	AbiE	99.03
257	PT_SspABCD	7.01
257	DMS_other	24
257	meta	68.99
258	hachiman_type_II	3.09
258	hachiman_type_I	94.62
259	AbiE	99.54
260	meta	96.54
261	cas_type_I-B1	95.01
261	cas_type_other	3.02
262	PT_DndFGH	97.39
263	RM_type_II	15.67
263	DMS_other	8.39
263	meta	10.43
263	RM_type_IIG	65.52
264	Dynamins	99
265	Lamassu_Family	96.76
266	meta	71.46
266	thoeris_type_II	11.56
266	thoeris_other	16.98
267	DMS_other	93.33
268	RM_type_II	25.07
268	DMS_other	12.89
268	RM_type_III	59.85
269	meta	11.06
269	AbiE	88.94
270	wadjet_type_II	95.14
270	wadjet_other	4.86
271	Mokosh_TypeI	95.38
272	DMS_other	33.98
272	brex_type_II	61.08
273	cbass_type_II	39.26
273	cbass_type_I	33.59
273	cbass_other	7.84
273	meta	10.37
273	cbass_type_IIs	8.93
274	cbass_type_I	94.75
275	cas_type_I-E	97.71
276	gabija	99.21
277	thoeris_type_I	75.56
277	meta	10.01
277	thoeris_other	14.43
278	RM_type_II	99.94
279	AbiE	99.88
280	cas_type_other	3.47
280	meta	4.44
280	cas_type_I-B1	84.98
280	cas_adaptation	3.89
281	RM_type_II	88.44
281	meta	10.34
282	meta	9.04
282	septu_type_I	90.84
283	ppl	34.8
283	meta	29.05
283	HEC-07	35.48
284	meta	67.37
284	mza	29.97
285	meta	97.71
286	meta	99.88
287	RM_type_IIG	96.56
288	AbiE	98.62
289	GAO_19	97.93
290	meta	9.81
290	RosmerTA	90.19
291	Lamassu_other	6.63
291	Lamassu_Family	93.11
292	meta	98.48
293	DRT_class_II	97.77
294	pycsar_effector	98.6
295	darTG	99.36
296	RM_type_II	100
297	RM_type_II	56.28
297	meta	24.17
297	DMS_other	18.14
298	meta	99.87
299	GAO_19	98.9
300	Dpd	80.71
300	meta	13.72
300	DMS_other	5.57
301	hachiman_type_II	21.62
301	hachiman_type_I	77.02
302	RM_type_I	63.08
302	Mokosh_TypeII	15.03
302	meta	12.05
302	DMS_other	9.72
303	RM_type_II	6.89
303	meta	10.59
303	DMS_other	30.21
303	VSPR	52.05
304	Azaca	97.98
305	GAO_29	41.46
305	meta	7.49
305	DMS_other	47.31
305	disarm_type_I	3.35
306	AbiL	99.93
307	RM_type_II	34.61
307	meta	63.82
308	Olokun	99.47
309	Mokosh_TypeI	99.61
310	brex_type_I	70.27
310	DMS_other	28.48
311	RM_type_III	98.15
312	meta	99.6
313	ietAS	99.47
314	RM_type_I	90.62
314	DMS_other	8.91
315	AbiE	99.86
316	cbass_type_I	98.17
317	meta	15.28
317	gabija	84.72
318	cbass_type_I	65.43
318	cbass_type_III	32.03
319	meta	98.97
320	DMS_other	31.73
320	brex_type_II	65.79
321	RM_type_II	35.91
321	druantia_type_II	12.09
321	meta	27.07
321	VSPR	22.38
322	DMS_other	55.77
322	disarm_type_II	6.08
322	disarm_type_I	37.6
323	RM_type_II	3.32
323	DMS_other	3.12
323	meta	11.01
323	VSPR	82.55
324	cbass_type_II	92
324	cbass_other	4.24
325	zorya_other	6.4
325	zorya_type_I	93.53
326	RM_type_II	100
327	RM_type_II	88.58
327	DMS_other	10.72
328	AbiE	99.86
329	cbass_type_II	55.94
329	meta	6.36
329	cbass_type_IIs	7.13
329	cbass_type_III	28.39
330	ietAS	99.44
331	zorya_type_II	97.82
332	RM_type_II	99.51
333	AbiE	99.93
334	Lamassu_other	3.11
334	Lamassu_Family	96.47
335	Helicase-DUF2290	95.34
335	meta	4.1
336	gabija	99.72
337	DMS_other	8.56
337	RM_type_IIG	88.61
338	meta	92.99
338	gabija	6.16
339	thoeris_type_I	96.08
339	meta	3.78
340	cas_type_III-B	20.2
340	cas_type_III-A	32.06
340	cas_type_other	17.54
340	meta	5.82
340	cas_type_III-D	23.51
341	meta	100
342	Lamassu_other	10.56
342	Lamassu_Family	89.36
343	meta	75.8
343	cas_type_I-E	5.22
343	cas_type_I-F1	12.17
344	cas_type_other	10.01
344	cas_type_III-B	89.84
345	meta	58.74
345	PD-Lambda-2	41.26
346	brex_type_I	79.43
346	DMS_other	20.06
347	RosmerTA	99.93
348	Dpd	82.28
348	meta	12.21
348	DMS_other	5
349	DRT_other	31.52
349	retron_II-A	13.62
349	retron_III-A	5.08
349	retron_XI	15.02
349	retron_I-C	23.27
349	meta	7.36
350	cas_type_I-F3	68.93
350	cas_type_I-F1	19.04
350	cas_type_other	12.03
351	meta	97.56
352	DMS_other	6.07
352	PT_DndABCDE	93.49
353	RM_type_I	84.28
353	DMS_other	12.95
354	meta	3.15
354	AbiE	96.85
355	meta	3.53
355	hachiman_type_I	95.72
356	cas_type_II-A	98.12
357	RM_type_II	94.58
357	DMS_other	3.77
358	meta	3.84
358	AbiL	96.01
359	DMS_other	3.41
359	PD-Lambda-5	95.98
360	GAO_19	99.39
361	RM_type_II	98.7
362	cbass_other	3.37
362	meta	5.6
362	cbass_type_II	91.03
363	DMS_other	4.45
363	RM_type_III	95.09
364	meta	100
365	septu_type_I	99.39
366	AbiE	99.69
367	RM_type_II	100
368	meta	5.72
368	VSPR	94.28
369	AbiE	98.99
370	DMS_other	29.68
370	brex_type_III	66.51
371	RM_type_II	97.28
372	AbiL	100
373	meta	100
374	Dodola	99.69
375	DRT_type_III	98.9
376	meta	6.06
376	cbass_type_II	91.58
377	RM_type_I	88
377	DMS_other	11.76
378	brex_type_III	67.35
378	DMS_other	29.95
379	cas_type_other	3.82
379	cas_type_III-D	96.18
380	cas_type_III-B	16.06
380	cas_type_III-A	35.37
380	cas_type_other	28.78
380	meta	3.42
380	cas_type_III-D	16.22
381	cas_type_I-G	93.54
381	cas_type_other	6.46
382	DMS_other	8.83
382	PT_PbeABCD	90.69
383	wadjet_other	40.18
383	wadjet_type_I	59.82
384	brex_type_III	71.72
384	DMS_other	28.28
385	RosmerTA	99.6
386	Lamassu_Family	98.22
387	meta	38.49
387	septu_type_I	60.7
388	RM_type_II	98.86
389	cas_type_III-A	10.36
389	cas_type_other	8.73
389	meta	6.53
389	cas_type_I-B1	61.5
389	cas_type_III-D	4.81
389	cas_type_III-B	5.63
390	septu_type_I	3.92
390	Old	12.72
390	gabija	29.36
390	meta	51.22
391	RM_type_II	24.86
391	meta	22.15
391	DMS_other	21.58
391	disarm_type_II	7.47
391	VSPR	23.79
392	Dpd	82.02
392	meta	11.9
392	DMS_other	6.08
393	DMS_other	98.19
394	meta	76.03
394	PD-Lambda-2	23.97
395	RM_type_II	51.48
395	DMS_other	37.97
395	meta	9.88
396	RM_type_III	97.69
397	meta	7.93
397	cbass_type_II	91.9
398	meta	3.15
398	AbiE	96.85
399	cas_type_V	5.15
399	cas_type_other	5.56
399	meta	88.88
400	meta	79.75
400	Dynamins	17.17
401	cas_type_other	10.18
401	cas_type_I-C	75.56
401	cas_adaptation	5
401	cas_type_III-D	5.5
402	cbass_type_II	18.31
402	cbass_type_I	23.14
402	cbass_other	6.78
402	meta	4.24
402	cbass_type_III	41.02
403	cas_type_I-F2	8.49
403	cas_type_other	3.82
403	cas_type_I-F1	87.69
404	GAO_19	99.06
405	cbass_type_III	96.41
406	Lamassu_other	4.63
406	Lamassu_Family	95.37
407	cas_type_I-E	95.52
407	cas_type_other	4.48
408	cbass_type_I	97.41
409	wadjet_type_III	78.86
409	wadjet_other	21.05
410	cas_type_I-B1	93.25
410	cas_type_other	6.4
411	cas_type_I-B1	96.02
412	meta	3.9
412	zorya_type_I	93.76
413	ietAS	99.22
414	cas_type_I-E	97.74
415	meta	100
416	cbass_type_II	86.58
416	cbass_type_I	4.39
416	meta	5.35
417	RM_type_II	11.69
417	DMS_other	72.32
417	meta	15.99
418	cas_type_I-F3	89.43
418	cas_type_other	8.81
419	meta	99.03
420	TerY-P	86.98
420	TerY-P_other	12.84
421	cbass_type_II	65.51
421	cbass_other	6.38
421	cbass_type_III	21.54
422	HEC-01	99.56
423	RM_type_II	94.35
423	DMS_other	3.67
424	meta	28.41
424	septu_type_I	71.06
425	zorya_other	27.98
425	zorya_type_II	68.43
426	meta	13.72
426	cbass_type_II	86.1
427	PT_DndFGH	97.39
428	meta	3.15
428	cbass_type_III	96.58
429	RM_type_II	75.02
429	DMS_other	5.52
429	meta	19.1
430	meta	99.1
431	HEC-04	54.53
431	meta	43.3
432	meta	5.43
432	AVAST_type_III	94.57
433	meta	26.36
433	PD-Lambda-2	73.64
434	SoFic	100
435	meta	97.62
436	wadjet_type_III	98.72
437	RM_type_II	43.25
437	mza_other	36.73
437	meta	8.91
437	DMS_other	8.54
438	PT_DndABCDE	97.78
439	Shango	100
440	thoeris_type_I	79.35
440	thoeris_type_II	17.96
441	meta	100
442	RM_type_IV	85.9
442	DMS_other	11.22
443	cas_type_V	3.44
443	cas_type_III-A	3.35
443	cas_type_I-G	52.32
443	cas_type_other	11.99
443	cas_type_I-D	10.78
443	cas_type_I-B1	3.81
443	cas_adaptation	9.39
444	meta	99.07
445	RM_type_I	94.39
446	meta	99.53
447	cas_type_other	21.37
447	cas_type_III-D	77.87
448	RM_type_I	86.86
448	DMS_other	12.76
449	RM_type_II	80.25
449	DMS_other	19.75
450	meta	32.77
450	3HP	67.23
451	DRT_other	35.55
451	retron_II-A	7.2
451	retron_XIII	51.56
452	meta	97.44
453	zorya_other	100
454	meta	3.32
454	cas_type_I-F3	94.02
455	PD-T4-6	100
456	meta	5.42
456	pycsar_other	14.08
456	cbass_type_II	77.83
457	septu_type_I	99.43
458	RM_type_II	96.48
459	retron_III-A	3.62
459	retron_II-A	61.68
459	retron_I-B	27.17
459	meta	3.43
460	RM_type_I	94.95
460	DMS_other	4.39
461	cas_type_I-B1	97.03
462	gabija	97.8
463	meta	96.93
463	gop_beta_cll	3.07
464	DMS_other	6.35
464	meta	93.37
465	cas_type_other	22.88
465	cas_type_III-B	77.12
466	cas_type_III-A	3.28
466	meta	5.39
466	cas_type_I-B1	79.87
466	cas_type_III-D	3.56
466	cas_type_III-B	4.91
467	brex_type_I	53.4
467	DMS_other	45.92
468	zorya_other	99.9
469	darTG	99.71
470	DMS_other	19.59
470	meta	18.22
470	RM_type_III	62.1
471	DMS_other	18.55
471	meta	75.17
471	PsyrTA	4.81
472	cas_type_I-E	93.62
472	cas_type_other	6.38
473	cbass_other	12.57
473	meta	3.44
473	cbass_type_II	81.73
474	meta	100
475	cas_type_I-G	3.1
475	meta	61.56
475	cas_type_I-E	6.11
475	cas_type_I-C	6.21
475	cas_type_I-B1	13.31
476	Lamassu_Family	97.07
477	brex_type_I	56.02
477	DMS_other	43.78
478	cas_type_I-G	94.74
478	cas_type_other	4.85
479	meta	35.74
479	3HP	64.26
480	DRT_other	96.95
481	cas_type_I-B1	96.03
481	cas_type_other	3.97
482	meta	94.8
482	DMS_other	4.18
483	Dpd	76.84
483	meta	16.94
483	DMS_other	6.22
484	cas_type_I-F3	90.67
484	cas_type_other	8.62
485	cas_type_III-A	86.83
485	cas_type_other	3.5
485	cas_type_III-D	6.07
486	meta	5.97
486	septu_type_I	94.03
487	AbiL	99.79
488	qatABCD	91.84
488	qatABCD_other	8.16
489	cas_type_I-D	96.69
489	cas_type_other	3.21
490	AbiE	97
491	Lamassu_other	5.58
491	Lamassu_Family	92.14
492	meta	99.59
493	Lamassu_other	9.97
493	Lamassu_Family	89.72
494	RM_type_II	88.12
494	DMS_other	5.31
494	meta	6.56
495	PT_SspFGH	97.18
496	RM_type_II	27.59
496	DMS_other	26.33
496	meta	45.04
497	brex_type_I	56.18
497	DMS_other	43.4
498	Lamassu_Family	95.17
499	cas_type_I-E	96.12
499	cas_type_other	3.88
500	DMS_other	17.88
500	meta	81.81
501	hachiman_type_I	98.41
502	RM_type_I	86.23
502	DMS_other	12.39
503	RM_type_I	71.69
503	DMS_other	28
504	septu_type_I	99.26
505	Dodola	99.36
506	wadjet_other	5.23
506	wadjet_type_I	93.92
507	cas_type_III-A	7.58
507	cas_type_other	26.47
507	cas_type_I-D	58.27
508	cas_type_other	4.62
508	cas_type_III-D	78.84
508	cas_type_III-B	15.15
509	meta	99.67
510	RM_type_IV	81.48
510	DMS_other	11.55
510	meta	6.64
511	Lamassu_Family	98.04
512	DRT_class_II	97.49
513	cas_type_I-E	97.81
514	cbass_type_II	34.36
514	cbass_type_I	50.93
514	cbass_other	12.07
515	cbass_type_I	99.23
516	AbiE	98.34
517	meta	36.47
517	Menshen_other	6.87
517	Menshen	54.32
518	ietAS	98.11
519	RM_type_II	89.64
519	DMS_other	9.24
520	mza_other	70.95
520	meta	26.48
521	DMS_other	5.47
521	PT_SspFGH	94.53
522	meta	98.88
523	RM_type_II	100
524	meta	97.19
525	cbass_type_IIs	98.87
526	RM_type_I	77.55
526	DMS_other	21.2
527	DRT_class_II	98.97
528	AbiL	99.88
529	RM_type_II	85.85
529	DMS_other	6.67
529	meta	7.48
530	brex_type_I	59.15
530	DMS_other	40.62
531	Dpd	81.34
531	meta	13.82
531	DMS_other	4.84
532	septu_type_I	99.54
533	GAO_19	98.27
534	DRT_class_III	99.88
535	RM_type_II	100
536	wadjet_type_I	96.99
537	AVAST_type_II	99.07
538	Lamassu_Family	99.19
539	PT_DndABCDE	97.8
540	AbiL	100
541	cbass_type_I	90.7
541	cbass_type_IIs	6.74
542	RM_type_I	86
542	DMS_other	13.65
543	meta	3.74
543	AbiE	96.26
544	GAO_19	97.53
545	Lamassu_other	3.06
545	Lamassu_Family	96.94
546	ShosTA	98.11
547	DMS_other	33.41
547	HEC-06	59
547	meta	7.58
548	meta	28.89
548	HEC-02	67.9
549	mza_other	16.09
549	mza	83.91
550	kiwa	98.33
551	SoFic	100
552	RM_type_I	62.49
552	meta	11.11
552	DMS_other	26.4
553	cbass_type_II	4.07
553	cbass_type_I	94.25
554	cas_type_I-B1	89.33
554	meta	6
554	cas_type_other	4.68
555	AbiL	100
556	wadjet_type_II	94.56
556	wadjet_other	4.96
557	cas_type_I-B1	96.74
558	DMS_other	22.85
558	GAO_29	76.9
559	meta	10.45
559	VSPR	89.55
560	meta	100
561	AbiE	100
562	Lamassu_Family	99.15
563	argonaute_type_III	97.93
564	wadjet_other	96.34
564	wadjet_type_I	3.54
565	meta	100
566	meta	100
567	RM_type_I	97.54
568	kiwa	99.14
